ID,Code,Scientific Name,Common Name
2,FICLASS,Filicopsida,Fern class
3,GICLASS,Ginkgoopsida,Ginkgo class
4,LICLASS,Liliopsida,Lily class
5,MACLASS,Magnoliopsida,Hardwood
287,AB1,Abelia,abelia spp
289,AB3,Abutilon,Indian mallow spp
290,ACSP2,Acacia,acacia spp
292,AC,Acer,maple spp
297,AD1,Adansonia,adansonia spp
298,AD2,Adelia,wild lime spp
299,AD3,Adenanthera,beadtree spp
301,AD6,Adolphia,prickbush spp
305,AE,Aesculus,buckeye spp
308,AI1,Ailanthus,ailanthus spp
310,AL1,Albizia,albizia spp
312,AL2,Alchorneopsis,alchorneopsis spp
315,AL6,Alhagi,alhagi spp
318,AL,Alnus,alder spp
319,AL12,Aloysia,beebrush spp
324,AM,Amelanchier,serviceberry spp
325,AM3,Amelasorbus,amelasorbus spp
326,AM5,Amorpha,false indigo spp
327,AM6,Ampelopsis,peppervine spp
328,AM7,Amphipappus,chaffbush spp
331,AN1,Anacardium,anacardium spp
335,AN7,Anisacanthus,desert honeysuckle spp
336,AN8,Annona,annona spp
337,AN11,Anthocephalus,anthocephalus spp
338,AN12,Antidaphne,antidaphne spp
340,AN14,Antiphytum,saucerflower spp
342,AR2,Aralia,spikenard spp
350,AR14,Argyrautia,arhyrautia spp
351,AR15,Argyroxiphium,silversword spp
355,AS3,Asimina,pawpaw spp
361,AY1,Ayenia,ayenia spp
362,BA1,Baccharis,baccharis spp
365,BA4,Banisteriopsis,banisteriopsis spp
369,BA11,Batesimalva,gaymallow spp
370,BA13,Bauhinia,bauhinia spp
373,BESP,Berberis,barberry spp
374,BE7,Bernardia,myrtlecroton spp
375,BE,Betula,birch spp
376,BI1,Bidens,beggarticks spp
377,BI4,Bischofia,bishopwood spp
388,BR1,Brachychiton,brachychiton spp
390,BR5,Brighamia,brighamia spp
391,BR6,Brongniartia,greentwig spp
394,BR9,Broussonetia,broussonetia spp
399,BR14,Brya,coccuswood spp
400,BU1,Buchenavia,buchenavia spp
402,BU3,Buckleya,buckleya spp
403,BU4,Buddleja,butterflybush spp
405,BU6,Bursera,bursera spp
410,CA6,Cajanus,cajanus spp
413,CA10,Callicarpa,beautyberry spp
420,CA17,Calycanthus,sweetshrub spp
421,CA18,Calycophyllum,calycophyllum spp
425,CA24,Camptotheca,camptotheca spp
429,CA29,Canthium,canthium spp
430,CA30,Capparis,caper spp
431,CA2,Caragana,peashrub spp
437,CA40,Carpinus,hornbeam spp
439,CA1,Carya,hickory spp
440,CA42,Caryopteris,caryopteris spp
443,CA45,Casearia,casearia spp
444,CASSI,Cassia,cassia spp
447,CA4,Castanea,chestnut spp
449,CA50,Castilla,castilla spp
451,CA3,Catalpa,catalpa spp
452,CA53,Catesbaea,lilythorn spp
455,CE5,Cedrela,cedrela spp
457,CE8,Ceiba,ceiba spp
458,CE9,Celastrus,bittersweet spp
460,CE2,Celtis,hackberry spp
461,CE13,Cephalanthus,buttonbush spp
463,CE17,Cercidiphyllum,katsura tree spp
464,CE18,Cercis,redbud spp
468,CH2,Chaenomeles,flowering quince spp
470,CH5,Chamaebatiaria,fernbush spp
473,CH7,Chamaecytisus,chamaecytisus spp
476,CH11,Chamaesyce,sandmat spp
482,CH19,Chionanthus,fringetree spp
485,CH23,Chorisia,Chorisia spp
486,CH24,Chromolaena,thoroughwort spp
489,CH29,Chrysophyllum,chrysophyllum spp
490,CH30,Chrysothamnus,rabbitbrush spp
494,CI8,Citharexylum,fiddlewood spp
497,CL1,Cladrastis,cladrastis spp
498,CL2,Claoxylon,claoxylon spp
499,CL5,Clermontia,clermontia spp,broadleaf
500,CL6,Clerodendrum,glorybower spp
501,CLSP2,Clethra,sweetpepperbush spp
504,CL9,Clidemia,clidemia spp
508,CN1,Cnemidaria,cnemidaria spp
513,CO6,Cochlospermum,cochlospermum spp
515,CO8,Codariocalyx,tick trefoil spp
520,CO13,Colubrina,nakedwood spp
521,CO16,Colutea,colutea spp
526,CO24,Conostegia,snailwood spp
531,CO29,Cordia,cordia spp,broadleaf
533,CO1,Cornus,dogwood spp
536,CO2,Corylus,hazelnut spp
538,CO39,Cotinus,smoketree spp
539,CO3,Cotoneaster,cotoneaster spp
540,CO41,Couroupita,cannonball tree spp
541,CO42,Coursetia,babybonnets spp
542,CR,Crataegus,hawthorn spp
543,CR2,Crescentia,crescentia spp
545,CR5,Critonia,Critonia spp
549,CR9,Croton,croton spp,broadleaf
552,CU1,Cudrania,cudrania spp
558,CY1,Cyanea,cyanea spp,broadleaf
560,CY3,Cybianthus,cybianthus spp
563,CY6,Cydonia,cydonia spp
565,CY8,Cypholophus,lopleaf spp
566,CY10,Cyrilla,titi spp
567,CY11,Cyrtandra,cyrtandra spp,broadleaf
569,DA1,Dacryodes,dacryodes spp
570,DA2,Dalbergia,Indian rosewood spp
571,DA3,Dalea,prairie clover spp
574,DA6,Dasiphora,shrubby cinquefoil spp
575,DE2,Dedeckera,July gold spp
576,DE3,Deeringothamnus,false pawpaw spp
577,DE4,Delissea,delissea spp
578,DE5,Delonix,delonix spp
581,DE10,Dendropemon,leechbush spp
582,DE11,Dendrophthora,tree destroyer spp
583,DE12,Derris,derris spp
584,DE15,Deutzia,pride-of-Rochester spp
